sku,barcode,product_name,brand,category,subcategory,volume_ml,pack_size,alcohol_pct,standard_drinks,current_price,cost_price,rsa_floor_price,region,country,active,product_url,image_url,thumbnail_url
DM-002010,9310004002104,Lindeman's Bin 65 Chardonnay 750mL,Lindeman's,wine,Chardonnay,750,1,12.5,7.4,8.5,5.0,5.25,South Eastern Australia,Australia,True,https://www.danmurphys.com.au/product/lindemans-bin-65-chardonnay-750ml-dm-002010,https://media.danmurphys.com.au/dmo/product/DM-002010-1.png,https://media.danmurphys.com.au/dmo/product/DM-002010-thumb.png
DM-002011,9310004002111,Hardys Stamp Shiraz 750mL,Hardys,wine,Shiraz,750,1,13.5,8.0,8.0,4.5,4.73,South Eastern Australia,Australia,True,https://www.danmurphys.com.au/product/hardys-stamp-shiraz-750ml-dm-002011,https://media.danmurphys.com.au/dmo/product/DM-002011-1.png,https://media.danmurphys.com.au/dmo/product/DM-002011-thumb.png
DM-002012,9310004002128,Treasury Estate T'Gallant Prosecco 750mL,T'Gallant,wine,Prosecco,750,1,11.0,6.5,15.0,10.0,10.5,Victoria,Australia,True,https://www.danmurphys.com.au/product/treasury-estate-tgallant-prosecco-750ml-dm-002012,https://media.danmurphys.com.au/dmo/product/DM-002012-1.png,https://media.danmurphys.com.au/dmo/product/DM-002012-thumb.png
DM-002013,9310004002135,Brown Brothers Moscato 750mL,Brown Brothers,wine,Moscato,750,1,5.5,3.3,10.0,6.5,6.83,Victoria,Australia,True,https://www.danmurphys.com.au/product/brown-brothers-moscato-750ml-dm-002013,https://media.danmurphys.com.au/dmo/product/DM-002013-1.png,https://media.danmurphys.com.au/dmo/product/DM-002013-thumb.png
DM-002014,9310004002142,Grant Burge Barossa Ink Shiraz 750mL,Grant Burge,wine,Shiraz,750,1,14.5,8.6,18.0,12.0,12.6,Barossa Valley,Australia,True,https://www.danmurphys.com.au/product/grant-burge-barossa-ink-shiraz-750ml-dm-002014,https://media.danmurphys.com.au/dmo/product/DM-002014-1.png,https://media.danmurphys.com.au/dmo/product/DM-002014-thumb.png
DM-002015,9310004002159,Moët & Chandon Impérial Brut 750mL,Moët & Chandon,wine,Champagne,750,1,12.0,7.1,62.0,45.0,47.25,Champagne,France,True,https://www.danmurphys.com.au/product/moët-and-chandon-impérial-brut-750ml-dm-002015,https://media.danmurphys.com.au/dmo/product/DM-002015-1.png,https://media.danmurphys.com.au/dmo/product/DM-002015-thumb.png
DM-003001,9320003003011,Johnnie Walker Red Label 700mL,Johnnie Walker,spirits,Scotch Whisky,700,1,40.0,22.1,40.0,28.0,29.4,Scotland,United Kingdom,True,https://www.danmurphys.com.au/product/johnnie-walker-red-label-700ml-dm-003001,https://media.danmurphys.com.au/dmo/product/DM-003001-1.png,https://media.danmurphys.com.au/dmo/product/DM-003001-thumb.png
DM-003002,9320003003028,Smirnoff Red Vodka 700mL,Smirnoff,spirits,Vodka,700,1,37.5,20.7,36.0,25.0,26.25,,Australia,True,https://www.danmurphys.com.au/product/smirnoff-red-vodka-700ml-dm-003002,https://media.danmurphys.com.au/dmo/product/DM-003002-1.png,https://media.danmurphys.com.au/dmo/product/DM-003002-thumb.png
DM-003003,9320003003035,Tanqueray London Dry Gin 700mL,Tanqueray,spirits,Gin,700,1,43.1,23.8,46.0,33.0,34.65,,United Kingdom,True,https://www.danmurphys.com.au/product/tanqueray-london-dry-gin-700ml-dm-003003,https://media.danmurphys.com.au/dmo/product/DM-003003-1.png,https://media.danmurphys.com.au/dmo/product/DM-003003-thumb.png
DM-003004,9320003003042,Bundaberg Rum UP 700mL,Bundaberg,spirits,Rum,700,1,37.0,20.4,42.0,30.0,31.5,Queensland,Australia,True,https://www.danmurphys.com.au/product/bundaberg-rum-up-700ml-dm-003004,https://media.danmurphys.com.au/dmo/product/DM-003004-1.png,https://media.danmurphys.com.au/dmo/product/DM-003004-thumb.png
DM-003005,9320003003059,Jack Daniel's Old No.7 700mL,Jack Daniel's,spirits,Tennessee Whiskey,700,1,40.0,22.1,48.0,34.0,35.7,Tennessee,United States,True,https://www.danmurphys.com.au/product/jack-daniels-old-no.7-700ml-dm-003005,https://media.danmurphys.com.au/dmo/product/DM-003005-1.png,https://media.danmurphys.com.au/dmo/product/DM-003005-thumb.png
DM-003006,9320003003066,Captain Morgan Spiced Gold 700mL,Captain Morgan,spirits,Spiced Rum,700,1,35.0,19.3,38.0,26.5,27.83,,Jamaica,True,https://www.danmurphys.com.au/product/captain-morgan-spiced-gold-700ml-dm-003006,https://media.danmurphys.com.au/dmo/product/DM-003006-1.png,https://media.danmurphys.com.au/dmo/product/DM-003006-thumb.png
DM-003007,9320003003073,Absolut Vodka 700mL,Absolut,spirits,Vodka,700,1,40.0,22.1,42.0,30.0,31.5,,Sweden,True,https://www.danmurphys.com.au/product/absolut-vodka-700ml-dm-003007,https://media.danmurphys.com.au/dmo/product/DM-003007-1.png,https://media.danmurphys.com.au/dmo/product/DM-003007-thumb.png
DM-003008,9320003003080,Hendrick's Gin 700mL,Hendrick's,spirits,Gin,700,1,41.4,22.9,65.0,47.0,49.35,Scotland,United Kingdom,True,https://www.danmurphys.com.au/product/hendricks-gin-700ml-dm-003008,https://media.danmurphys.com.au/dmo/product/DM-003008-1.png,https://media.danmurphys.com.au/dmo/product/DM-003008-thumb.png
DM-003009,9320003003097,Jameson Irish Whiskey 700mL,Jameson,spirits,Irish Whiskey,700,1,40.0,22.1,44.0,31.0,32.55,,Ireland,True,https://www.danmurphys.com.au/product/jameson-irish-whiskey-700ml-dm-003009,https://media.danmurphys.com.au/dmo/product/DM-003009-1.png,https://media.danmurphys.com.au/dmo/product/DM-003009-thumb.png
DM-003010,9320003003104,Canadian Club 1858 Whisky 700mL,Canadian Club,spirits,Canadian Whisky,700,1,40.0,22.1,38.0,27.0,28.35,,Canada,True,https://www.danmurphys.com.au/product/canadian-club-1858-whisky-700ml-dm-003010,https://media.danmurphys.com.au/dmo/product/DM-003010-1.png,https://media.danmurphys.com.au/dmo/product/DM-003010-thumb.png
DM-004001,9330004004011,Canadian Club & Dry 10 x 375mL Cans,Canadian Club,rtd,Whisky & Dry,375,10,4.8,14.2,39.0,28.0,29.4,,Australia,True,https://www.danmurphys.com.au/product/canadian-club-and-dry-10-x-375ml-cans-dm-004001,https://media.danmurphys.com.au/dmo/product/DM-004001-1.png,https://media.danmurphys.com.au/dmo/product/DM-004001-thumb.png
DM-004002,9330004004028,Jim Beam & Cola 10 x 375mL Cans,Jim Beam,rtd,Bourbon & Cola,375,10,4.8,14.2,38.0,27.5,28.88,,Australia,True,https://www.danmurphys.com.au/product/jim-beam-and-cola-10-x-375ml-cans-dm-004002,https://media.danmurphys.com.au/dmo/product/DM-004002-1.png,https://media.danmurphys.com.au/dmo/product/DM-004002-thumb.png
DM-004003,9330004004035,Smirnoff Ice Double Black 10 x 375mL Cans,Smirnoff,rtd,Vodka RTD,375,10,6.5,19.2,42.0,30.0,31.5,,Australia,True,https://www.danmurphys.com.au/product/smirnoff-ice-double-black-10-x-375ml-cans-dm-004003,https://media.danmurphys.com.au/dmo/product/DM-004003-1.png,https://media.danmurphys.com.au/dmo/product/DM-004003-thumb.png
DM-004004,9330004004042,Cruiser Vodka Mixed 10 x 275mL Bottles,Vodka Cruiser,rtd,Vodka RTD,275,10,4.6,10.0,32.0,23.0,24.15,,Australia,True,https://www.danmurphys.com.au/product/cruiser-vodka-mixed-10-x-275ml-bottles-dm-004004,https://media.danmurphys.com.au/dmo/product/DM-004004-1.png,https://media.danmurphys.com.au/dmo/product/DM-004004-thumb.png
DM-004005,9330004004059,Jack Daniel's & Cola 10 x 375mL Cans,Jack Daniel's,rtd,Whiskey & Cola,375,10,4.8,14.2,44.0,32.0,33.6,,Australia,True,https://www.danmurphys.com.au/product/jack-daniels-and-cola-10-x-375ml-cans-dm-004005,https://media.danmurphys.com.au/dmo/product/DM-004005-1.png,https://media.danmurphys.com.au/dmo/product/DM-004005-thumb.png
DM-005001,9340005005011,Somersby Apple Cider 10 x 375mL Cans,Somersby,cider,Apple Cider,375,10,4.5,13.3,28.0,20.0,21.0,,Australia,True,https://www.danmurphys.com.au/product/somersby-apple-cider-10-x-375ml-cans-dm-005001,https://media.danmurphys.com.au/dmo/product/DM-005001-1.png,https://media.danmurphys.com.au/dmo/product/DM-005001-thumb.png
DM-005002,9340005005028,Bulmers Original Cider 10 x 330mL Bottles,Bulmers,cider,Apple Cider,330,10,4.5,11.7,30.0,21.5,22.57,,Ireland,True,https://www.danmurphys.com.au/product/bulmers-original-cider-10-x-330ml-bottles-dm-005002,https://media.danmurphys.com.au/dmo/product/DM-005002-1.png,https://media.danmurphys.com.au/dmo/product/DM-005002-thumb.png
DM-005003,9340005005035,Strongbow Original Cider 10 x 375mL Cans,Strongbow,cider,Dry Cider,375,10,5.0,14.8,29.0,20.5,21.53,,Australia,True,https://www.danmurphys.com.au/product/strongbow-original-cider-10-x-375ml-cans-dm-005003,https://media.danmurphys.com.au/dmo/product/DM-005003-1.png,https://media.danmurphys.com.au/dmo/product/DM-005003-thumb.png
DM-005004,9340005005042,Heaps Normal Quiet XPA 4 x 375mL Cans,Heaps Normal,non_alc,Non-Alc XPA,375,4,0.5,0.6,16.0,11.0,11.55,New South Wales,Australia,True,https://www.danmurphys.com.au/product/heaps-normal-quiet-xpa-4-x-375ml-cans-dm-005004,https://media.danmurphys.com.au/dmo/product/DM-005004-1.png,https://media.danmurphys.com.au/dmo/product/DM-005004-thumb.png
DM-005005,9340005005059,Athletic Brewing Run Wild IPA 6 x 355mL Cans,Athletic Brewing,non_alc,Non-Alc IPA,355,6,0.5,0.8,20.0,14.0,14.7,,United States,True,https://www.danmurphys.com.au/product/athletic-brewing-run-wild-ipa-6-x-355ml-cans-dm-005005,https://media.danmurphys.com.au/dmo/product/DM-005005-1.png,https://media.danmurphys.com.au/dmo/product/DM-005005-thumb.png
